질문(Q),고객용 답변,내부 메모,상태,카테고리,태그
반복독서 9번을 읽었는데 배지가 안 붙어요.,배지는 회원 등급이 '새싹 독서' 이상일 때 획득할 수 있습니다. (새싹 독서: 어휘통장 5개 & 완독 5권 달성),"[등급 조건 확인] 
씨앗 독서 단계에서는 배지 미지급됨 안내",게시완료,[독서활동],#사용법문의
지성의 별 10개를 모았는데 '금화'로 안 바뀌어요.,별이 금화로 전환되는 데 약간의 시스템 시간이 소요될 수 있습니다. '새로고침'을 하거나 재로그인 후 확인 부탁드립니다.,,게시완료,[독서활동],#사용법문의
[보호자 설정] 휴대폰 인증 문자가 안 와요.,"스팸 메시지함을 먼저 확인해 주시고, 통신사 사정으로 지연될 수 있으니 1분 뒤 [재전송] 버튼을 눌러주세요.",[내부 점검] 보호자 인증 프로세스 점검 필요,게시완료,[로그인/회원],#시스템문의
다음 레벨로 올라갔는데 책이 안 열려요. (자물쇠 표시),레벨업 정보가 도서관 페이지에 반영되지 않았을 수 있습니다. 로그아웃 후 다시 로그인하시면 정상적으로 상위 레벨 도서관이 열립니다.,,게시완료,[독서활동],#사용법문의
[STT] 녹음 내용을 글자로 바꿔주는데 엉뚱한 말로 나와요.,"주변 소음이 섞이거나 발음이 불명확할 경우 정확도가 떨어질 수 있습니다. 조용한 곳에서 또박또박 말하거나, 오타 부분만 직접 수정해 주시면 됩니다.",,게시완료,[독서활동],#시스템문의
하루에 책을 왕창 읽어버려도 되나요?,"독서화랑은 '많이 읽기'보다 '제대로 읽기(정독)'를 중요하게 생각합니다.
아이들이 기록을 채우기 위해 내용을 대충 훑어보고 넘기는 것을 방지하고자, 시스템상 '주간 완독 인정 권수'에 제한을 두고 있습니다.

주간 최대 인정 권수
- 정독 과정 (1~2학년): 주 5권
- 다독 과정 (3~6학년): 주 3권
하루에 몰아서 읽기보다는, 매일 꾸준히 한 권씩 깊이 있게 읽는 습관을 길러주세요.",* 25년 12월 ~ 26년 2월 한시적으로 일주일간 (정독)10권 / (다독)6권 가능함,게시완료,[독서활동],#서비스문의
'감정 발견'은 언제 할 수 있나요?,해당 도서의 독후 대화를 1개 이상 작성하여 '완독' 상태가 된 이후에 감정을 선택하거나 작성할 수 있습니다.,,게시완료,[독서활동],#서비스문의
어떤 기기에서 이용할 수 있나요?,"PC, 모바일, 태블릿 모두 지원합니다. 단, 원활한 타자 입력과 녹음 기능을 위해 PC나 태블릿 이용을 권장합니다.",,게시완료,[기타],#사용법문의
아이가 타자 치는 걸 너무 힘들어해요.,독서화랑은 아이들이 말로 표현하는 것을 권장합니다. '음성 녹음' 버튼을 누르고 말하면 자동으로 글자로 변환되는 기능(STT)이 있으니 이를 활용해 보도록 지도해 주세요.,,게시완료,[독서활동],#학부모상담
방학 동안에만 잠깐 쉬고 싶은데 데이터가 삭제되나요?,재원 중이라면 데이터는 유지됩니다. 다만 장기간 미접속 시 '지성의 등불' 온도가 내려갈 수 있습니다.,,게시완료,[독서활동],#서비스문의
금화로 살 수 있는 선물 종류가 마음에 안 들어요.,선물 목록은 학부모님께서 직접 설정하실 수 있습니다. 학부모 페이지에서 아이가 좋아하는 간식이나 자유시간 이용권 등으로 변경해 주세요.,,게시완료,[독서활동],#사용법문의
독서 평점 글자 수가 50자로 제한되어 있어서 입력이 안 돼요.,아이들의 부담을 줄이고 핵심 내용만 정리하는 습관을 기르기 위한 기준입니다. 보내주신 의견은 유관 부서에 전달하여 개선을 검토하겠습니다.,[내부] 디딤유에 내용 전달함 > 개발 시기 미정,게시완료,[건의사항],#개선건의
응원 금화 보내기,"[다독]
응원 금화 5개를 자녀에게 보내기 가능
응원 금화는 매달 1일 사용한 만큼 채워집니다.",,게시완료,[독서활동],#서비스문의
책을 다 읽고 기록도 남겼는데 '완독' 처리가 안 돼요,독서 활동 기록이 [완독 인정 기준]을 충족했는지 확인 부탁드립니다.,"1. 독서 퀴즈: 커트라인 점수 이상이어야 합니다.
2. 독서 노트: 설정된 글자 수 이상 작성해야 합니다.
3. 독서 평점: 너무 짧은 감상평은 인정되지 않을 수 있습니다.

혹시 '보호자 설정'에서 완독 기준을 높게 잡아두셨는지도 체크해 주세요!

로그 확인 시 '독서평점'이나 '노트' 글자 수가 미달인 경우가 많음 
(독서 평점 5자/8자 작성하여 0점 처리됨).
학부모에게 기준 미달 사유(글자 수 부족 등) 안내 후, 필요시 보호자 설정 변경 유도.",게시완료,[독서활동],#서비스문의
"퀴즈 정답을 맞췄는데 오답 처리되거나, 문제가 이상해요.","불편을 드려 죄송합니다. 해당 내용을 캡처해서 알려주시면 [독서화랑 연구팀]에서 즉시 검토하여 문제를 수정하겠습니다.
다만, 시스템상 이미 완료된 퀴즈의 점수는 수정(소급 적용)이 어려운 점 너른 양해 부탁드립니다. ","1. 오류 제보 접수 → 연구부 이관 
2. 문제 수정 완료 안내 ",게시완료,[독서활동],#문제오류
